#,MSE_NBG,MSE,SSIM_NBG,PSNR_NBG,SSIM,PSNR, volume_type, MSE_NBG_AVG_EMB
52, 1.511, 0.241, 0.247, 21.023, 0.890, 28.992, test, 0.844
53, 1.538, 0.277, 0.315, 21.253, 0.880, 28.692, test, 0.797
