#,MSE_NBG,MSE,SSIM_NBG,PSNR_NBG,SSIM,PSNR, volume_type, MSE_NBG_AVG_EMB
52, 0.906, 0.145, 0.304, 23.246, 0.902, 31.215, test, 0.844
53, 0.837, 0.151, 0.352, 23.896, 0.890, 31.335, test, 0.797
