#,MSE_NBG,MSE,SSIM_NBG,PSNR_NBG,SSIM,PSNR, volume_type, MSE_NBG_AVG_EMB
52, 1.005, 0.160, 0.232, 22.795, 0.889, 30.764, test, 0.844
53, 1.486, 0.268, 0.220, 21.402, 0.853, 28.841, test, 0.797
